Tijdstempel,What programme are you in?,,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,stress_processed,money,Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Good day 1,Good day 2,,,
4/5/2022 12:13:37,computer scienece,MSc Computer Science,yes,1,mu,ja,male,I have no idea what you are talking about,2.18,0,no,69,69,2,6,?,1,1,troll,troll,,,
4/5/2022 12:13:39,Artificial Intelligence,MSc Artificial Intelligence VU,yes,1,mu,ja,male,I have no idea what you are talking about,02/11/1996,1,no,69,69,0.1,420,1.3,Working hard,Playing volleyball,work,sport,,,
4/5/2022 12:13:41,Msc AI @ UvA,MSc Artificial Intelligence UvA,yes,1,mu,ja,male,fat,02-10-1998,0,no,45,45,troll,-1,1:34,Sunshine,Friends,weather,friends,,,
4/5/2022 12:13:41,Econometrics & Operations Research,MSc Econometrics and Operations Research,yes,0,mu,ja,male,fat,09-06-1998,0,no,7,7,0.6,1946,09:00,Beer,Ajax,alcohol,sport,,,
4/5/2022 12:13:43,Master Artificial Intelligence,MSc Artificial Intelligence VU,yes,1,unknown,nee,female,neither,12 july,0,no,33,33,77,88,midnight,good night of sleep,good food,sleep,food,,,
4/5/2022 12:13:43,Computational Science,MSc Computational Science,no,0,sigma,nee,female,I have no idea what you are talking about,27-06-1998,0,no,40,40,5,36,huh,Good weather,Nice people around,weather,friends,,,
4/5/2022 12:13:44,Artificial intelligence ,MSc Artificial Intelligence VU,no,0,mu,nee,male,slim,-600 BC,troll,yes,101,101,troll,666,Yesterday,Saturday,Saturday,relax,relax,,,
4/5/2022 12:13:45,Artificial Intelligence ,MSc Artificial Intelligence VU,no,0,mu,nee,female,slim,10-06-1998,2,no,70,70,0.1,765,11,Seeing Friends,Nice weather,friends,weather,,,
4/5/2022 12:13:47,Data Science,-,yes,unknown,mu,ja,male,fat,30-08-1997,0,no,20,20,100,3,23:30,Satisfaction,Spare time,mood,relax,,,
4/5/2022 12:13:47,MSc Econometrics & Operations Research,MSc Econometrics and Operations Research,yes,0,mu,ja,male,neither,01-01,0,no,60,60,100,81,1,2,4,troll,troll,,,
4/5/2022 12:13:49,Computational science,MSc Computational Science,yes,0,unknown,nee,male,fat,08-05-1998,1,no,0,0,100,109,23:00,sun,beach,weather,relax,,,
4/5/2022 12:13:50,AI,MSc Artificial Intelligence VU,yes,1,mu,ja,male,I have no idea what you are talking about,09-04-1997,0,no,20,20,20,4444,200,sun,holiday,weather,relax,,,
4/5/2022 12:13:51,Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,male,unknown,January 1 1997,0,no,10,10,5,94,Today,Chocolate,Clear skies,food,weather,,,
4/5/2022 12:13:54,AI,MSc Artificial Intelligence VU,no,0,mu,nee,male,I have no idea what you are talking about,22-07-1992,7,no,50,50,80,9999,Haha,Yes,No,troll,troll,,,
4/5/2022 12:13:54,Computational Science,MSc Computational Science,yes,0,mu,ja,female,I have no idea what you are talking about,03.04.2000,1,unknown,5,5,100,1,4,sun,gym,weather,sport,,,
4/5/2022 12:13:57,MSc AI,MSc Artificial Intelligence VU,no,0,sigma,unknown,not willing to answer,neither,07/09/1999,1,no,88,88,5,401,01:00,Snacks,Good grades,food,work,,,
4/5/2022 12:13:58,Artificial Intelligence,MSc Artificial Intelligence VU,yes,unknown,mu,ja,female,neither,30-08-1999,0,no,60,60,50,7,10:00 pm,With family and loved ones,Being in good health,friends,mood,,,
4/5/2022 12:13:59,Business Analytics,MSc Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,15-03-2000,2,no,75,75,20,19,23:45,Sun,Sleep,weather,sleep,,,
4/5/2022 12:14:00,AI,MSc Artificial Intelligence VU,yes,1,mu,ja,male,I have no idea what you are talking about,24.06.1998,2,unknown,69,69,100,42,24,Beer,More beer,alcohol,alcohol,,,
4/5/2022 12:14:05,MSc AI,MSc Artificial Intelligence VU,yes,0,mu,nee,intersex,neither,15/02/1974,troll,no,34,34,99,1,12,Cookies,I don't know ,food,troll,,,
4/5/2022 12:14:05,Bioinformatics and systems biology msc,MSc Bioinformatics and Systems Biology,yes,0,sigma,nee,male,unknown,24-9,4,no,50,50,100,7,Yes,Food,Food,food,food,,,
4/5/2022 12:14:06,CS,MSc Computer Science,yes,unknown,mu,ja,female,unknown,02/07/1997,0,no,99,99,troll,77,N/A,Biking ,Books,sport,relax,,,
4/5/2022 12:14:06,Bioinformatics,MSc Bioinformatics and Systems Biology,yes,0,unknown,nee,male,I have no idea what you are talking about,4,5,no,99,99,100,77,00:34,waking up early,finishing things for the day,sleep,work,,,
4/5/2022 12:14:10,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,male,fat,19-10-1998,6,no,30,30,20,69,13:15,Gym,Friends,sport,friends,,,
4/5/2022 12:14:11,Econometrics,MSc Econometrics and Operations Research,yes,1,mu,ja,male,neither,13-07,1,no,50,50,100,69,7,whole lotta bread,good wave check,food,friends,,,
4/5/2022 12:14:12,AI,MSc Artificial Intelligence VU,yes,0,mu,ja,male,fat,19-02-1998,1,yes,20,20,troll,864687452,Gym,Food,Good coffee,food,coffee,,,
4/5/2022 12:14:12,MSc AI,MSc Artificial Intelligence VU,no,0,mu,nee,gender fluid,I have no idea what you are talking about,08.08.1997,0,no,69,69,69,420,2,420,69,troll,troll,,,
4/5/2022 12:14:14,Data mining tekkers ,troll,no,unknown,mu,ja,gender fluid,slim,23 December ,1,yes,34,34,100,280,23:00,Having a snickers ,Food,food,food,,,
4/5/2022 12:14:14,Computational Science,MSc Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,28.07.1997,2,no,40,40,troll,67,22:30,Free food,Free coffee,food,coffee,,,
4/5/2022 12:14:15,AI,MSc Artificial Intelligence VU,yes,0,sigma,nee,male,neither,fifteenth of december nineteenhundredninetyfive,0,no,1,1,3.5,2,15:30,Sunshine,Chocolate Milk,weather,food,,,
4/5/2022 12:14:15,Bioinformatics ,MSc Bioinformatics and Systems Biology,yes,0,unknown,nee,female,slim,19971205,2,no,65,65,100,33,12,sleep,eat,sleep,food,,,
4/5/2022 12:14:18,Computer Science,MSc Computer Science,no,0,mu,ja,not willing to answer,neither,01-01-2001,0,no,troll,troll,equally shared,2,yes,alive,awake,troll,troll,,,
4/5/2022 12:14:19,Econometrics and Operations Research,MSc Econometrics and Operations Research,no,0,sigma,nee,female,neither,december 9th,0,no,80,80,troll,8271,11pm,sun,not rain,weather,weather,,,
4/5/2022 12:14:20,Master of Computer science ,MSc Computer Science,yes,0,mu,ja,male,fat,1999/7/12,0,no,10,10,equally shared,17,2 am,Sunshine,Good sex,weather,sex,,,
4/5/2022 12:14:22,Computer science,MSc Computer Science,yes,1,mu,ja,male,fat,12-09-1999,1,no,100,100,troll,4,2300,No deadlines/exam,Good weather,relax,weather,,,
4/5/2022 12:14:23,Business Analytics,MSc Business Analytics,yes,1,mu,ja,male,unknown,06-12-1994,troll,no,99,99,0,42,0530 am,waking up ,eating,sleep,food,,,
4/5/2022 12:14:24,Computer Science,MSc Computer Science,no,0,mu,nee,male,I have no idea what you are talking about,20-08-1999,0,no,200,200,20,2,12,Food,Sleep,food,sleep,,,
4/5/2022 12:14:24,Duisenberg Honours Programme in Quantitative Risk Management,Duisenberg Honours Programme in Quantitative Risk Management,no,0,mu,nee,male,I have no idea what you are talking about,06/12/1997,2,yes,troll,troll,12,0,13:12,alcohol,10,alcohol,troll,,,
4/5/2022 12:14:27,Medical Natural Sciences,Medical Natural Sciences,yes,0,mu,unknown,male,I have no idea what you are talking about,10-07-1995,2,unknown,42,42,30,365,1,Good food and sports,Friends,food,friends,,,
4/5/2022 12:14:28,MPA,"Management, Policy Analysis and Entrepreneurship in the Health & Life Sciences",no,0,mu,nee,male,fat,06-09-1997,1,no,80,80,5,33,4 o' clock,being stoic,accepting change,mood,work,,,
4/5/2022 12:14:29,computational science,MSc Computational Science,no,0,mu,ja,male,fat,03/03/1997,0,no,50,50,10,5,4:35,game,beautiful girl,sport,love,,,
4/5/2022 12:14:29,Computational science ,MSc Computational Science,no,0,mu,nee,male,slim,18 of January ,5,yes,100,100,100,41,12,Kissing thomas,Alcohol ,sex,alcohol,,,
4/5/2022 12:14:30,None,-,no,0,unknown,nee,female,neither,25-04-2001,3,yes,60,60,0,36,12,Joy,More jou,mood,mood,,,
4/5/2022 12:14:31,AI,MSc Artificial Intelligence VU,yes,0,mu,nee,male,neither,20/11/1998,1,no,50,50,20,69,2:00,Sex,Sex,sex,sex,,,
4/5/2022 12:14:33,Computational Science,MSc Computational Science,yes,1,unknown,ja,male,slim,July 23,1,yes,10,10,100,73,12:00,Reading,Music,relax,relax,,,
4/5/2022 12:14:34,AI,MSc Artificial Intelligence VU,yes,0,unknown,nee,male,neither,20/03/1998,2,yes,61,61,3.5,2.93847509283475E+145,Wot,Cake,Pie,food,food,,,
4/5/2022 12:14:36,Computer Science ,MSc Computer Science,yes,unknown,mu,ja,male,neither,20,3,yes,100,100,100,42,10:45,No lectures ,No assignments ,relax,relax,,,
4/5/2022 12:14:37,Business Analytics,MSc Business Analytics,yes,1,mu,nee,female,fat,19.05.1996,0,no,89,89,2,86,20.09,Food,Completed to-do's,food,relax,,,
4/5/2022 12:14:40,AI,MSc Artificial Intelligence VU,yes,0,mu,nee,male,I have no idea what you are talking about,02/11/1896,5,unknown,troll,troll,0,9.80000000000001E+017,00:00,Beer,Beer,alcohol,alcohol,,,
4/5/2022 12:14:42,Master Artificial Intelligence,MSc Artificial Intelligence VU,yes,1,mu,nee,female,neither,13-02-2001,0,no,troll,troll,troll,432,10,Frozen yoghurt,Coffee,food,coffee,,,
4/5/2022 12:14:43,Computer science - BDE,Bachelor Computer Science,no,1,mu,ja,male,fat,1999.1.24,1,no,100,100,100,88,22:00,Eat food ,Sleep ,food,sleep,,,
4/5/2022 12:14:44,Business analytics ,MSc Business Analytics,yes,unknown,mu,ja,male,slim,04/04/1999,1,no,10,10,100,3,24,Chocolate ,Sun,food,weather,,,
4/5/2022 12:14:46,Computer science,MSc Computer Science,yes,0,mu,ja,male,fat,1997.03.01,3,no,0,0,100,42,12,Passing assignments ,Passing exams,work,work,,,
4/5/2022 12:14:48,Human Language Technology,Master Human Language Technology,yes,0,unknown,nee,female,fat,Oct 11,3,no,80,80,50,100,12:45,no homework,earn money,relax,work,,,
4/5/2022 12:14:53,Cheese,troll,yes,0,mu,ja,gender fluid,fat,6/9/420,troll,yes,101,101,100,10.3,6 am,Drugs ,Sex,drugs,sex,,,
4/5/2022 12:14:57,MSc. AI at UvA ,MSc Artificial Intelligence UvA,yes,1,unknown,nee,female,neither,31-5-2000,2,no,60,60,10,14,23,Sun,Day off,weather,relax,,,
4/5/2022 12:14:57,Econometrics and Data Science,MSc Econometrics and Operations Research,yes,0,unknown,ja,male,fat,11 October,0,no,30,30,troll,6,7 hours,No complications,Sport,mood,sport,,,
4/5/2022 12:14:57,Computational Science,MSc Computational Science,no,0,mu,nee,female,neither,01-01-1900,6,unknown,150,150,0,3645,12,chocolate,more chocolate,food,food,,,
4/5/2022 12:14:59,Masters Computer Science ,MSc Computer Science,yes,0,mu,ja,male,I have no idea what you are talking about,27-03-1998,1,no,100,100,troll,987654321,12.15,Playing,Studying ,relax,work,,,
4/5/2022 12:15:02,AI,MSc Artificial Intelligence VU,no,unknown,unknown,nee,gender fluid,I have no idea what you are talking about,6 May ,2,no,troll,troll,troll,Π,Ω,Χρεσης,Φετα,troll,troll,,,
4/5/2022 12:15:02,QRM,Duisenberg Honours Programme in Quantitative Risk Management,no,0,mu,nee,female,neither,04.08.1998,0,no,80,80,100,69,9.00 am,Good sleep,No class,sleep,relax,,,
4/5/2022 12:15:07,Msc AI,MSc Artificial Intelligence VU,yes,1,mu,ja,male,neither,16/08,0,no,1000,1000,100,7,I do not know,sun,sun x 2,weather,weather,,,
4/5/2022 12:15:09,Computer Science,MSc Computer Science,yes,1,mu,ja,male,neither,13/03,7,no,40,40,equally shared,69,10:00,Food,Sleep,food,sleep,,,
4/5/2022 12:15:09,MSc Bioinformatics,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,female,neither,11/13,2,no,10,10,100,6,00:45,food,friends,food,friends,,,
4/5/2022 12:15:12,Masters AI ,MSc Artificial Intelligence VU,yes,1,mu,ja,female,I have no idea what you are talking about,08-06-1999,troll,no,100,100,20,3,11.30pm,coffee,pasta,coffee,food,,,
4/5/2022 12:15:12,PDCS,MSc Parallel and Distributed Computer System,no,unknown,unknown,nee,male,I have no idea what you are talking about,01/12/1982,troll,no,10,10,10,227,6,Good coffee,Challeging works,coffee,work,,,
4/5/2022 12:15:13,Business Analytics Master (Computational Intelligence track),MSc Business Analytics,yes,0,sigma,ja,female,neither,21-10-2000,7,no,60,60,70,247,23:00,Sun,Food,weather,food,,,
4/5/2022 12:15:15,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,nee,male,fat,11.03.98,0,no,44,44,24.99,57,10:21:39,EDDA grades,sun,work,weather,,,
4/5/2022 12:15:16,Ai,MSc Artificial Intelligence VU,yes,0,mu,ja,not willing to answer,I have no idea what you are talking about,4/20/1969,1,unknown,3,3,0,7.35538015314884E+043,4:20,Surveys,Data mining,work,work,,,
4/5/2022 12:15:16,SEG,SEG,unknown,1,sigma,ja,male,I have no idea what you are talking about,25.10.1998,troll,no,101,101,100,666,idk,no dues,no school,relax,relax,,,
4/5/2022 12:15:16,advanced,-,no,0,mu,ja,female,fat,4.22,4,no,88,88,100,42,12,delicious food,friends company,food,friends,,,
4/5/2022 12:15:18,AI,MSc Artificial Intelligence VU,no,0,mu,nee,male,fat,08.03.1999,3,unknown,100,100,7,94736253,00:55,Love 😓,Friends,love,friends,,,
4/5/2022 12:15:18,Computer science,MSc Computer Science,yes,0,unknown,ja,not willing to answer,neither,11-02-1999,4,unknown,10,10,25,1947271047294720^10204847,23:30,Xtc,Money,drugs,mood,,money = mood?,weird but i did it
4/5/2022 12:15:20,CS,MSc Computer Science,yes,1,mu,ja,male,slim,13-10-95,2,no,50,50,50,13,12,Kafeneion Amsterdam ,More Kafeneion Amsterdam ,coffee,coffee,,,
4/5/2022 12:15:21,cs,MSc Computer Science,no,1,mu,ja,female,I have no idea what you are talking about,1997.04.03,2,no,20,20,100,97,today,sleep,date,sleep,love,,,
4/5/2022 12:15:25,AI,MSc Artificial Intelligence VU,yes,1,mu,ja,female,fat,22-11-1998,1,no,5,5,2,56,100,Sunshine,Free time,weather,relax,,,
4/5/2022 12:15:25,Computer Science,MSc Computer Science,yes,1,mu,ja,female,fat,26-05,1,no,5,5,10,7,23:30,a nice dinner,the sun,food,weather,,,
4/5/2022 12:15:27,CS,MSc Computer Science,yes,0,sigma,ja,male,neither,07-04-1998,troll,no,10,10,troll,7,01:30,Fun people,Beer,friends,alcohol,,,
4/5/2022 12:15:29,Bioinformatics & Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,ja,male,fat,04/09/1997,1,no,0,0,20,25,21:20,food,sleep,food,sleep,,,
4/5/2022 12:15:30,Artificial intelligence master,MSc Artificial Intelligence VU,no,0,mu,ja,female,neither,20.10.1996,3,no,40,40,10,567,2am,Flow state,Good food,mood,food,,,
4/5/2022 12:15:32,big data,MSc Computer Science,yes,unknown,mu,ja,female,fat,1999,1,no,40,40,50,58,45,1,1,troll,troll,,,
4/5/2022 12:15:37,AI,MSc Artificial Intelligence VU,yes,0,mu,ja,female,fat,01/01/1998,1,no,0,0,50,23,3AM,food,being with the people i love,food,friends,,,
4/5/2022 12:15:38,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,female,slim,25-03-1999,2,no,3,3,66,43,23:30,Coffee,Food,coffee,food,,,
4/5/2022 12:15:41,Computational Science,MSc Computational Science,no,0,mu,nee,male,fat,08-05-1998,0,no,69,69,troll,69,01:30,Sun,Wine,weather,alcohol,,,
4/5/2022 12:15:41,QRM,Duisenberg Honours Programme in Quantitative Risk Management,yes,0,mu,nee,male,fat,Qwerty-keyboard,troll,unknown,troll,troll,100,No,Dizzy Miss Lizzy was a terrible song to end Help! with,Double fudge brownies,Angela,troll,troll,,both troll cause its the office reference,
4/5/2022 12:15:41,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,male,fat,9-2,0,no,1,1,10,73,02:20,Sun,Weekend,weather,relax,,,
4/5/2022 12:15:42,Computational Science,MSc Computational Science,unknown,unknown,unknown,unknown,female,neither,01.01.2000,5,no,10,10,69,9,1,sun,friends,weather,friends,,,
4/5/2022 12:15:42,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,female,fat,08-08-1998,0,no,14,14,5,8,23:00,Party,Tennis,friends,sport,,,
4/5/2022 12:15:43,PhD,PhD,no,1,mu,nee,male,I have no idea what you are talking about,11-11-1995,7,yes,10,10,10,21,23:40,VIKINGS!,My house not burning down :),sport,troll,,,
4/5/2022 12:15:43,Artificial Intelligence,MSc Artificial Intelligence VU,no,1,mu,nee,male,slim,26-09-1998,0,no,69,69,99,42,05:00,sleep,deliocious food,sleep,food,,,
4/5/2022 12:15:44,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,mu,ja,male,fat,29/04/1991,5,no,40,40,1,5813,1am,Beers,Movies,alcohol,relax,,,
4/5/2022 12:15:44,Computational science ,MSc Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,25-12,2,unknown,0,0,0.6,7823,0,Lasagne,More lasagne,food,food,,,
4/5/2022 12:15:44,Msc Artificial Intelligence,MSc Artificial Intelligence VU,yes,unknown,mu,ja,male,I have no idea what you are talking about,18/12/1997,1,no,30,30,30,36,20.3,Food football and sleep,Gym study and drinks,food,sport,,,
4/5/2022 12:15:44,Master Artificial Intelligence at UvA,MSc Artificial Intelligence UvA,yes,1,mu,ja,female,neither,08/07/1997,1,yes,60,60,100,42,1.3,Traveling with friends ,Eating with family ,friends,food,,,
4/5/2022 12:15:44,CS,MSc Computer Science,no,0,mu,nee,male,neither,12/04/2000,1,no,60,60,0.1,88,23:00,Nice weather,Good food,weather,food,,,
4/5/2022 12:15:45,AI,MSc Artificial Intelligence VU,yes,1,mu,nee,male,I have no idea what you are talking about,2000,8,no,50,50,equally shared,9,23:00,Coffee,Friends,coffee,friends,,,
4/5/2022 12:15:45,Computational Science,MSc Computational Science,no,0,mu,ja,male,I have no idea what you are talking about,27-11,0,no,40,40,missing,4,2:30,Lack of stress,Feeling productive,relax,work,,,
4/5/2022 12:15:45,Artificial Intelligence ,MSc Artificial Intelligence VU,yes,0,sigma,ja,female,fat,24/02/1997,0,no,30,30,missing,47,11:30,SUNSHINE 😭,Laughter ,weather,mood,,,
4/5/2022 12:15:45,Data Mining Techniques,-,yes,0,mu,ja,male,neither,26-04-1996,0,no,20,20,10,76853,22:00,Sun,Spring,weather,weather,,,
4/5/2022 12:15:45,IS:DS,MSc Information Studies Data Science Track UvA,yes,unknown,mu,nee,male,fat,01-01-1900,1,no,75,75,equally shared,76678909876543,11:45,Pizza,WFH,food,relax,,,
4/5/2022 12:15:45,Bioinformatics,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,male,slim,1-09,0,no,troll,troll,1,8,00:40,Sushi,Anime,food,relax,,,
4/5/2022 12:15:46,MSc AI,MSc Artificial Intelligence VU,yes,0,mu,ja,female,neither,17-08-1998,0,yes,68,68,23,83,00:15,friends,sun,friends,weather,,,
4/5/2022 12:15:46,Business Analytics,MSc Business Analytics,yes,1,mu,ja,female,slim,22-07-1999,4,no,22,22,100,12,7:00,Food,A smile,food,mood,,,
4/5/2022 12:15:46,MSc AI,MSc Artificial Intelligence VU,no,0,mu,nee,female,fat,30-10-1997,0,no,70,70,7,3,00:07,sun,sex,weather,sex,,,
4/5/2022 12:15:47,AI,MSc Artificial Intelligence VU,yes,0,mu,nee,female,fat,04-25-1997,1,no,30,30,10,60,23pm,food,love,food,love,,,
4/5/2022 12:15:47,Artificial Intelligence,MSc Artificial Intelligence VU,no,1,unknown,ja,gender fluid,slim,30/21/1057,troll,no,troll,troll,80,omega,4:15,music,videogames,relax,relax,,,
4/5/2022 12:15:47,MSc Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,unknown,female,neither,16-02-1998,0,no,47,47,7,83,4am,good food,sun,food,weather,,,
